spawn,agression,min_gap,Run,Data Collector,Final_Cars_in_lane,Final_avg_speed,Total_Avg_speed,Total_Cars_in_lane,Variance_car,Variance_speed
0.45380859375,0.17734375000000002,4.58251953125,563,<mesa.datacollection.DataCollector object at 0x7f1cfa1b3080>,82,66.4405262889587,67.3480090815386,51,322,4.818100545023866
0.45380859375,0.32421875,4.58251953125,564,<mesa.datacollection.DataCollector object at 0x7f1cfafeaac8>,83,71.94034174559565,69.83835420951353,52,363,4.01577956716005
0.77373046875,0.17734375000000002,4.58251953125,565,<mesa.datacollection.DataCollector object at 0x7f1cfaf99400>,90,62.91532796340584,58.59651494432335,59,334,7.775750671942697
0.77373046875,0.32421875,2.83349609375,566,<mesa.datacollection.DataCollector object at 0x7f1d00101898>,116,71.78376291404938,67.63593129439546,74,588,9.754950986300004
0.77373046875,0.32421875,4.58251953125,567,<mesa.datacollection.DataCollector object at 0x7f1cfad8cc18>,89,66.71104104058762,62.691738722257945,57,322,13.103838068605409
0.8038085937499999,0.57734375,0.58349609375,568,<mesa.datacollection.DataCollector object at 0x7f1cfa542a90>,212,99.51027585316616,97.63595989822215,124,2269,4.102861243514476
0.42373046875,0.57734375,0.58349609375,569,<mesa.datacollection.DataCollector object at 0x7f1cfab28a20>,139,102.55778080955011,101.52827164070997,87,1012,4.093075414432412
0.8038085937499999,0.72421875,0.58349609375,570,<mesa.datacollection.DataCollector object at 0x7f1cfb058860>,207,103.0007425333896,101.79046936707073,123,2147,4.051910177771042
0.8038085937499999,0.57734375,2.33251953125,571,<mesa.datacollection.DataCollector object at 0x7f1cfb06a978>,140,78.5080919179652,74.71348041734129,88,875,8.906791553814644
0.8038085937499999,0.72421875,2.33251953125,572,<mesa.datacollection.DataCollector object at 0x7f1cfa2ff7b8>,146,81.48978019269185,77.45655190027455,92,987,7.838588658306999
0.42373046875,0.57734375,2.33251953125,573,<mesa.datacollection.DataCollector object at 0x7f1cfa14e9b0>,120,84.88441976546252,85.0762463350676,73,753,4.8697149590873146
0.42373046875,0.72421875,0.58349609375,574,<mesa.datacollection.DataCollector object at 0x7f1cfb628b70>,128,103.65256801809151,103.51536096960946,76,1030,1.6337690516243064
0.42373046875,0.72421875,2.33251953125,575,<mesa.datacollection.DataCollector object at 0x7f1cfa1b39e8>,114,95.49912097691598,94.74252375062042,68,695,4.328750102861795
0.97880859375,0.37734375,3.95849609375,576,<mesa.datacollection.DataCollector object at 0x7f1cfb191a58>,100,68.97538613973904,63.74146504388824,66,420,12.45082530949543
0.94873046875,0.37734375,3.95849609375,577,<mesa.datacollection.DataCollector object at 0x7f1cfb257f98>,101,68.83994739313411,64.75940593926327,65,409,12.177532146606099
0.97880859375,0.5242187500000001,3.95849609375,578,<mesa.datacollection.DataCollector object at 0x7f1d00101908>,102,67.9068661410537,65.10010097161761,66,439,5.417479149450483
0.97880859375,0.37734375,1.20751953125,579,<mesa.datacollection.DataCollector object at 0x7f1cfb1914e0>,187,80.42877581270916,80.77840546650657,116,1791,4.21783540868688
0.97880859375,0.5242187500000001,1.20751953125,580,<mesa.datacollection.DataCollector object at 0x7f1cfa542160>,210,83.43218956282107,82.64005766161016,129,2282,2.179592261685221
0.94873046875,0.37734375,1.20751953125,581,<mesa.datacollection.DataCollector object at 0x7f1cfa14e080>,185,82.5617745397822,78.5967699200101,116,1678,10.174416830626622
0.94873046875,0.5242187500000001,3.95849609375,582,<mesa.datacollection.DataCollector object at 0x7f1cfb257320>,102,65.01692205410954,62.33639639696193,66,419,9.368064990930803
0.94873046875,0.5242187500000001,1.20751953125,583,<mesa.datacollection.DataCollector object at 0x7f1d012dcb38>,183,87.80384137055616,84.31075289142402,113,1613,11.949689473457164
0.62880859375,0.77734375,1.70849609375,584,<mesa.datacollection.DataCollector object at 0x7f1d012dc080>,145,99.25091969753713,96.43249928846245,89,1038,16.1740403818538
0.5987304687499999,0.77734375,1.70849609375,585,<mesa.datacollection.DataCollector object at 0x7f1cfb06a438>,154,97.92214656768726,95.88339211811676,93,1300,3.970554423669347
0.62880859375,0.12421875,1.70849609375,586,<mesa.datacollection.DataCollector object at 0x7f1cfab28da0>,137,73.14089388891566,74.89341941105033,81,1026,9.232864547526814
0.62880859375,0.77734375,3.45751953125,587,<mesa.datacollection.DataCollector object at 0x7f1cfad8c748>,105,80.5442548580161,76.26144414348383,67,514,4.355303253150657
0.62880859375,0.12421875,3.45751953125,588,<mesa.datacollection.DataCollector object at 0x7f1cfa542b70>,99,67.9287357195857,63.25876489839132,65,458,8.945645968478486
0.5987304687499999,0.77734375,3.45751953125,589,<mesa.datacollection.DataCollector object at 0x7f1cfb191e48>,108,79.16399342396397,76.25977440356569,68,499,11.180563848316831
0.5987304687499999,0.12421875,1.70849609375,590,<mesa.datacollection.DataCollector object at 0x7f1cfb3d6128>,136,74.12801278979883,71.2895971903706,85,948,2.7146803856696273
0.5987304687499999,0.12421875,3.45751953125,591,<mesa.datacollection.DataCollector object at 0x7f1cfb1913c8>,100,67.00351621737329,63.92392476626424,64,438,4.903759548829082
0.54130859375,0.47734375000000007,1.14599609375,592,<mesa.datacollection.DataCollector object at 0x7f1cfa542748>,137,97.79523992115219,96.22819788697265,78,1046,6.065605460819894
0.51123046875,0.47734375000000007,1.14599609375,593,<mesa.datacollection.DataCollector object at 0x7f1cfad8c400>,147,97.84719278988081,95.33073324617591,86,1200,2.787858557571725
0.54130859375,0.22421875000000002,1.14599609375,594,<mesa.datacollection.DataCollector object at 0x7f1cfab28198>,151,87.21932933851753,88.18959435598344,92,1120,7.9760160449442425
