,Avg_speed,Lane_speeds,Cars_in_lane
128,92.33035714285714,"[90.08059701492537, 96.22702702702703, 93.15]","[67, 37, 8]"
129,91.76814159292036,"[90.43098591549297, 94.9, 88.80000000000001]","[71, 36, 6]"
130,91.2,"[90.9, 93.42, 82.575]","[66, 40, 8]"
131,91.57894736842105,"[91.85217391304347, 91.41081081081082, 90.0]","[69, 37, 8]"
132,90.29739130434783,"[88.17272727272727, 94.43414634146342, 86.625]","[66, 41, 8]"
133,89.78086956521739,"[89.69142857142857, 91.5, 83.6]","[70, 36, 9]"
134,89.8603448275862,"[88.78378378378379, 90.30857142857143, 99.0]","[74, 35, 7]"
135,89.8603448275862,"[86.448, 95.60571428571428, 99.0]","[75, 35, 6]"
136,90.2923076923077,"[88.032, 93.55, 99.0]","[75, 36, 6]"
137,89.86153846153846,"[87.41842105263159, 93.60000000000001, 99.0]","[76, 35, 6]"
138,90.12307692307692,"[88.63783783783784, 92.23783783783784, 95.4]","[74, 37, 6]"
139,89.78644067796611,"[87.14999999999999, 94.59473684210526, 90.675]","[72, 38, 8]"
140,90.1190082644628,"[87.34736842105264, 95.5945945945946, 91.125]","[76, 37, 8]"
141,89.77685950413223,"[87.54545454545455, 93.12631578947368, 97.2]","[77, 38, 6]"
142,90.32727272727273,"[89.52000000000001, 91.8, 90.77142857142857]","[75, 39, 7]"
143,90.35409836065574,"[89.52000000000001, 91.05365853658537, 96.0]","[75, 41, 6]"
144,90.61463414634147,"[88.76842105263158, 93.94054054054054, 92.34]","[76, 37, 10]"
145,90.71129032258065,"[89.4857142857143, 92.18571428571428, 97.2]","[77, 42, 5]"
146,90.74285714285715,"[88.57317073170732, 94.3578947368421, 97.5]","[82, 38, 6]"
147,91.2472440944882,"[90.6075, 91.75500000000001, 95.65714285714286]","[80, 40, 7]"
148,90.96377952755905,"[90.73846153846154, 90.38571428571429, 96.94285714285714]","[78, 42, 7]"
149,90.70866141732284,"[88.54177215189874, 94.0390243902439, 95.65714285714286]","[79, 41, 7]"
150,90.4640625,"[88.93333333333334, 92.07, 99.0]","[81, 40, 7]"
151,90.77538461538461,"[88.30975609756098, 95.44615384615385, 93.0]","[82, 39, 9]"
152,91.05563909774436,"[89.77777777777779, 92.2390243902439, 96.05454545454546]","[81, 41, 11]"
153,90.17462686567166,"[89.55, 92.34, 86.76]","[84, 40, 10]"
154,89.52985074626865,"[87.94588235294118, 92.28292682926829, 92.25]","[85, 41, 8]"
155,88.75074626865671,"[86.42068965517241, 93.195, 92.31428571428572]","[87, 40, 7]"
156,88.93333333333334,"[86.13409090909092, 93.88421052631578, 95.4]","[88, 38, 9]"
157,87.96000000000001,"[85.24285714285713, 92.12727272727273, 94.37142857142858]","[84, 44, 7]"
158,88.59705882352941,"[86.83373493975904, 90.72, 94.95]","[83, 45, 8]"
159,88.0948905109489,"[85.97777777777777, 91.52608695652174, 89.46000000000001]","[81, 46, 10]"
160,88.17410071942446,"[84.53493975903615, 94.76, 88.69090909090909]","[83, 45, 11]"
161,88.30285714285715,"[86.67209302325581, 91.05652173913045, 90.0]","[86, 46, 8]"
162,88.44428571428571,"[88.2409090909091, 90.87906976744186, 78.8]","[88, 43, 9]"
163,87.51063829787233,"[87.97500000000001, 87.73953488372094, 82.44]","[88, 43, 10]"
164,87.4774647887324,"[87.78139534883722, 88.65957446808511, 78.4]","[86, 47, 9]"
165,86.7902097902098,"[86.16, 90.66976744186047, 75.78]","[90, 43, 10]"
166,86.46206896551725,"[86.16263736263737, 85.57826086956521, 94.95]","[91, 46, 8]"
167,86.02758620689656,"[84.20869565217392, 88.08510638297872, 97.80000000000001]","[92, 47, 6]"
168,86.41241379310345,"[82.8989010989011, 93.24, 87.8]","[91, 45, 9]"
169,86.38767123287671,"[83.43296703296703, 92.2695652173913, 86.2]","[91, 46, 9]"
170,86.54693877551021,"[84.21573033707865, 89.25, 94.32]","[89, 48, 10]"
